document,provider,model,prompt,total_faqs,unique_questions,avg_answer_length,unique_ratio
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,197,197,24.00507614213198,1.0
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,235,235,29.378723404255318,1.0
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,188,188,23.132978723404257,1.0
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,224,224,20.816964285714285,1.0
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,228,228,25.210526315789473,1.0
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,224,224,23.232142857142858,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,61,61,27.16393442622951,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,63,63,31.761904761904763,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,62,62,24.741935483870968,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,63,63,24.428571428571427,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,60,60,29.4,1.0
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,63,63,25.317460317460316,1.0
syllabus.pdf,gemini,gemini-2.0-flash,simple,21,21,22.80952380952381,1.0
syllabus.pdf,gemini,gemini-2.0-flash,structured,21,21,28.38095238095238,1.0
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,19,19,25.68421052631579,1.0
syllabus.pdf,openai,gpt-4o-mini,simple,42,29,20.785714285714285,0.6904761904761905
syllabus.pdf,openai,gpt-4o-mini,structured,42,37,27.61904761904762,0.8809523809523809
syllabus.pdf,openai,gpt-4o-mini,user_centered,42,32,22.047619047619047,0.7619047619047619
